,address,link,long,lat,property_type,property_costs,total_area,number_of_units,year_built,parking_spots,volume_rate,green_rating,developer_company,property_management_company
5527,华欣家园,https://shanghai.anjuke.com/community/view/7617,31.125794,121.466972,公寓,0.60元/平米/月,52141m²,650户,2004年,480,1.4,25%(一般),上海汇成房产经营有限公司,上海汇成物业管理有限公司
5528,锦馨苑,https://shanghai.anjuke.com/community/view/7390,31.196325,121.422307,公寓,2.00元/平米/月,20461m²,2635户,2007年,180,2.4,43%(高),锦江房地产有限公司,上海锦房物业公司
5529,实业公寓,https://shanghai.anjuke.com/community/view/2562,31.199247,121.44331499999998,公寓,2.50元/平米/月,20000m²,448户,1992年,62,2.5,20%(一般),上海上实房地产开发有限公司,上海浦江物业管理有限公司
5530,亚都国际名园,https://shanghai.anjuke.com/community/view/2314,31.194956,121.444115,公寓,2.50元/平米/月,120000m²,1056户,2003年,900,3.5,35%(一般),上海铭源房地产开发经营有限公司,上海亚都物业管理有限公司
5531,汇贤居,https://shanghai.anjuke.com/community/view/2034,31.22143,121.452165,公寓,5.50元/平米/月,80000m²,359户,2004年,341,3,50%(高),长江实业（集团）和记黄浦地产集团,家利物业管理（上海）有限公司
5532,福华花苑,https://shanghai.anjuke.com/community/view/1740,31.20688,121.472974,公寓,1.30元/平米/月,15000m²,446户,2000年,106,1.5,30%(一般),上海吕福房地产开发经营有限公司,河南骏景房地产开发有限公司
5533,西雅图嘉萱苑,https://shanghai.anjuke.com/community/view/1612,31.172527,121.44341599999998,公寓,2.30元/平米/月,38070m²,1200户,2004年,600余个泊车位,暂无数据,38%(一般),上海城开（集团）有限公司,上海徐房物业有限公司
5534,田林新苑,https://shanghai.anjuke.com/community/view/1404,31.179901,121.433113,公寓,1.38元/平米/月,45000m²,462户,1994年,240,2,35%(一般),上海中星（集团）有限公司,徐房物业管理公司
5535,金牛苑,https://shanghai.anjuke.com/community/view/1026031,31.158337,121.441128,公寓,1.80元/平米/月,暂无数据,暂无数据,2001年,暂无数据,2.3,33%(一般),上海金牛房地产有限公司,上海金牛物业管理有限公司
5536,馨宁公寓,https://shanghai.anjuke.com/community/view/1025783,31.134031,121.45227,公寓,0.60元/平米/月,暂无数据,暂无数据,2011年,暂无数据,2.5,35%(一般),上海城建集团,中星物业
5537,东泉小区(西块),https://shanghai.anjuke.com/community/view/990245,31.16202,121.44978,公寓,0.70元/平米/月,暂无数据,暂无数据,2000年,暂无数据,2.2,25%(一般),上海瑞虹地产开发有限公司,上海申大物业有限公司
5538,北海大厦,https://shanghai.anjuke.com/community/view/865824,31.189837,121.450456,公寓,2.00元/平米/月,暂无数据,暂无数据,1997年,暂无数据,暂无数据,15%(低),北海集团有限公司,优化物业
5539,徐汇世家花园,https://shanghai.anjuke.com/community/view/765735,31.187323,121.424986,公寓,1.80元/平米/月,暂无数据,暂无数据,2014年,200,暂无数据,35%(一般),上海华京置业有限公司,上海丰柏物业管理有限公司
5540,东方曼哈顿尚东区,https://shanghai.anjuke.com/community/view/605095,31.197984,121.441034,公寓,8.00元/平米/月,200000m²,400户,2005年,120,1.26,40%(高),上海东方海外徐家汇房地产有限公司,高力国际物业管理有限公司
5541,江南二村,https://shanghai.anjuke.com/community/view/63296,31.197794,121.46801200000002,公寓,0.60元/平米/月,暂无数据,暂无数据,1994年,暂无数据,1.9,20%(一般),上海江南造船厂房地产开发经营公司,上海高建物业管理有限公司
5542,天钥花苑公寓,https://shanghai.anjuke.com/community/view/17477,31.193007,121.450699,公寓,1.51元/平米/月,5000m²,300户,1998年,100,暂无数据,30%(一般),暂无数据,上海长泉物业管理所
5543,中原新村,https://shanghai.anjuke.com/community/view/12541,31.189799,121.440395,公寓,0.80元/平米/月,50000m²,324户,1984年,30,3,35%(一般),上海徐房（集团）有限公司,上海华宜物业管理有限公司
5544,周家湾,https://shanghai.anjuke.com/community/view/6266,31.177391,121.457229,公寓,0.50元/平米/月,暂无数据,暂无数据,1996年,暂无数据,1.4,35%(一般),中房地产,城锦物业
5545,公安住宅小区,https://shanghai.anjuke.com/community/view/6213,31.188663,121.43113,公寓,0.80元/平米/月,8000m²,300户,1999年,120,暂无数据,30%(一般),上海城投置地有限公司,上海中星集团申城物业有限公司
5546,华中大厦,https://shanghai.anjuke.com/community/view/4851,31.195922,121.428068,公寓,1.50元/平米/月,暂无数据,108户,2001年,50,暂无数据,30%(一般),爱建集团股份有限公司,暂无数据
5547,凌云新村,https://shanghai.anjuke.com/community/view/2440,31.147835,121.424522,公寓,0.28元/平米/月,120000m²,648户,1994年,480,2,35%(一般),新凌房地产开发有限公司,上海恒浩物业管理有限公司 
5548,体育公寓,https://shanghai.anjuke.com/community/view/2371,31.18045900000001,121.43532,公寓,1.20元/平米/月,300m²,500户,1997年,100,暂无数据,45%(高),上海体育场地建设开发有限公司,上海安德物业管理有限公司
5549,九弄小区,https://shanghai.anjuke.com/community/view/2207,31.172011,121.438951,公寓,0.45元/平米/月,18000m²,420户,1982年,150,1.6,25%(一般),上海中房置业股份有限公司,昆明航汇投资有限公司
5550,汇宁花园,https://shanghai.anjuke.com/community/view/2021,31.206731,121.43821,公寓,7.00元/平米/月,20000m²,190户,2007年,255,5.6,30%(一般),上海汇宁花园房产发展有限公司,上海高力国际物业服务有限公司
5551,梅陇四村,https://shanghai.anjuke.com/community/view/2017,31.14391,121.427583,公寓,0.40元/平米/月,18000m²,1068户,1994年,600,暂无数据,35%(一般),上海工业房地产总公司,上海金辉物业管理有限公司 
5552,东荡小区,https://shanghai.anjuke.com/community/view/1898,31.156318,121.434305,公寓,1.20元/平米/月,5110m²,420户,1994年,120,暂无数据,40%(高),暂无数据,上海恒浩物业管理有限公司
5553,中山苑,https://shanghai.anjuke.com/community/view/1896,31.187474,121.452989,公寓,1.20元/平米/月,25213m²,206户,1994年,地上停车位,暂无数据,35%(一般),金山开发建设股份有限公司,上海轩乾物业公司
